Number,Author Full Names,Article Title,Source Title,Abstract,Publication Date,Publication Year,Volume,Issue,Early Access Date,UT (Unique WOS ID),Pubmed Id,Survey,N,Relevant,Rel_2
525,"Su, Jun-Ming; Yang, Yi-Ching; Weng, Tzu-Nin; Li, Meng-Jhen; Wang, Chi-Jane",A web-based serious game about self-protection for COVID-19 prevention: Development and usability testing,COMUNICAR,"The number of new COVID-19 cases continues to rise rapidly in many countries despite vaccination. The best way to counter the spread of COVID-19 is self-protection. This study documents the development of a web-based serious game (WSG-COVID-19.SP) to promote effective learning strategies for self-protection against COVID-19 and to test the game's content validity and usability. WSG-COVID-19.SP was developed using situated learning theory and diagnostic feedback mechanism. The game includes six situation storylines with 17 learning objectives. It uses a problem-solving approach to foster practices such as wearing masks, washing hands, and social distancing. Portfolio analysis was used to diagnose learning problems and report on the learning process. An overall summary index-the scale-level content validity index (S-CVI)-was used to evaluate content validity. Usability was tested through a website survey from 71 students from one university to gauge their technological acceptance and the game's capability to promote future self-protection behaviors. The S-CVI was 0.81. Usability and acceptability were neither related to the users' college major (whether it is information technology-related) nor to gender. Among the respondents, 84.5% agreed to continue with the self-protection practice as they were motivated by the real-time diagnostic function. The WSG-COVID-19.SP game system has adequate content validity and a high user satisfaction rating.",OCT 1,2021,29,69,,WOS:000697187700008,,,,,
526,"Taye, Birhan Tsegaw; Amogne, Fetene Kasahun; Demisse, Tesfanesh Lemma; Zerihun, Mulualem Silesh; Kitaw, Tebabere Moltot; Tiguh, Agumas Eskezia; Mihret, Muhabaw Shumye; Kebede, Azmeraw Ambachew",Coronavirus disease 2019 vaccine acceptance and perceived barriers among university students in northeast Ethiopia: A cross-sectional study,CLINICAL EPIDEMIOLOGY AND GLOBAL HEALTH,"Background: Universities are places where students live and study in close contact to each other. Nowadays, the foundations of this particular group have been affected significantly by the rapid spread of the coronavirus disease 2019. The severity of the COVID-19 pandemic has demanded the emergency use of COVID-19 vaccines. However, there is still limited evidence in COVID-19 vaccine acceptability and perceived barriers among some subgroups, including university students. This study aimed to assess vaccine acceptance, associated factors, and perceived barriers among university students, Ethiopia. Methods: A cross-sectional study was conducted in January 2021 at Debre Berhan University among 423 students. The participants were selected using simple random sampling technique. A semi-structured, pretested, and self-administered questionnaire was used to collect the data. Multivariable logistic-regression model was fitted to identify factors associated with vaccine acceptance. An adjusted odds ratio with 95% confidence interval and its p-value of <= 0.05 was used to declare significant association. Results: The proportion of the COVID-19 vaccine acceptance was 69.3% (95% CI: 65, 74). Being knowledgeable (AOR: 2.43, CI: 1.57, 3.77), being a health science student (AOR: 2.25, CI: 1.43, 3.54), and being in a family practicing COVID-19 prevention (AOR: 1.73, CI: 1.06, 2.81) were found to be factors associated with COVID-19 vaccine acceptance. Conclusion: Though, this study found a 69.3% acceptance of COVID-19 vaccine, there were noticeable perceived barriers and related factors in vaccine acceptance hesitancy. Thus, health education and communication regarding the vaccine are very crucial to alleviate the identified barriers.",OCT-DEC,2021,12,,,WOS:000704764700026,34395948,,,,
527,"Merkley, Eric; Loewen, Peter John",Assessment of Communication Strategies for Mitigating COVID-19 Vaccine-Specific Hesitancy in Canada,JAMA NETWORK OPEN,"IMPORTANCE Ensuring widespread uptake of available COVID-19 vaccinations, each with different safety and efficacy profiles, is essential to combating the unfolding pandemic. OBJECTIVE To test communication interventions that may encourage the uptake of less-preferred vaccines. DESIGN, SETTING, AND PARTICIPANTS This online survey was conducted from March 24 to 30, 2021, using a nonprobability convenience sample of Canadian citizens aged 18 years or older, with quota sampling to match 2016 Canadian Census benchmarks on age, gender, region, and language. Respondents completed a 2-by-2-by-2 factorial experiment with random assignment of brand (AstraZeneca or Johnson & Johnson), information about the vaccine's effectiveness against symptomatic infection (yes or no), and information about the vaccine's effectiveness at preventing death from COVID-19 (yes or no) before being asked about their willingness to receive their assigned vaccine and their beliefs about its effectiveness. EXPOSURES Respondents were randomly assigned a vaccine brand (AstraZeneca or Johnson & Johnson) and information about the vaccine's effectiveness against symptomatic COVID-19 infection (yes or no) and at preventing death from COVID-19 (yes or no). MAIN OUTCOMES AND MEASURES Respondents' self-reported likelihood of taking their assigned vaccine if offered (response categories: very likely, somewhat likely, not very likely, or not at all likely, scaled 0-1) and their beliefs about their assigned vaccine's effectiveness (response categories: very effective, somewhat effective, not very effective, or not at all effective, scaled 0-1) were measured. RESULTS A total of 2556 Canadian adults responded to the survey (median [IQR] age, 50 [34-63] years; 1339 women [52%]). The self-reported likelihood of taking an assigned AstraZeneca or Johnson & Johnson vaccine was higher for respondents given information about their assigned vaccine's effectiveness at preventing death from COVID-19 (b, 0.04; 95% CI, 0.01 to 0.06) and lower among those given information about its overall effectiveness at preventing symptomatic transmission (b, -0.03; 95% CI, -0.05 to 0.00), compared with those who were not given the information. Perceived effectiveness was also higher among those given information about their assigned vaccine's effectiveness at preventing death from COVID-19 (b. 0.03; 95% CI, 0.01 to 0.05) and lower among those given information about their assigned vaccine's overall efficacy at preventing symptomatic infection (b, -0.05; 95% CI, -0.08 to -0.03), compared with those who were not given this information. The interaction between these treatments was neither substantively nor statistically significant. CONCLUSIONS AND RELEVANCE These findings suggest that providing information on the effectiveness of less-preferred vaccines at preventing death from COVID-19 is associated with more confidence in their effectiveness and less vaccine-specific hesitancy. These results can inform public health communication strategies to reduce hesitancy toward specific COVID-19 vaccines.",SEP 30,2021,4,9,,WOS:000702484500004,34591105,,,,
528,"Gkentzi, Despoina; Mpania, Lamprini; Fouzas, Sotirios; Sinopidis, Xenophon; Dimitriou, Gabriel; Karatza, Ageliki A.",Influenza vaccination among caregivers and household contacts of children with congenital heart disease before and during COVID-19 pandemic,JOURNAL OF PAEDIATRICS AND CHILD HEALTH,"Aim We aimed to investigate the influenza immunisation status of caregivers and household contacts of children with congenital heart disease (CHD) and potential barriers to vaccine uptake. Methods Prospective questionnaire-based survey over two influenza seasons (2019-2020 and 2020-2021) on 161 children with CHD attending a tertiary paediatric cardiology clinic and their families. Logistic regression and factor analysis were performed to identify factors associated with influenza vaccine uptake. Results Influenza vaccination coverage of children was 65%, whereas that of their fathers and mothers was 34% and 26%, respectively. Children with unvaccinated siblings represented 43% and those with unvaccinated adults in the household 79% of our study population. No statistically significant differences were found before and during COVID-19 pandemic on vaccine uptake. Logistic regression analysis showed that higher education level, understanding the risk of contracting the disease and vaccination status of the child determined the vaccination status of parents, regardless of their age, age of their child, severity of CHD, beliefs about vaccine safety and efficacy and risk of transmission if not vaccinated. Factor analysis revealed distinct groups among unvaccinated parents (76.3% of the variation in the responses). Conclusions Vaccination coverage of caregivers and household contacts of children with CHD is suboptimal. Influenza vaccination campaigns should take into consideration the specific characteristics of parental groups and target interventions accordingly to increase their vaccine uptake and indirectly protect children with CHD.",,,,,SEP 2021,WOS:000698980900001,34562323,yes,,9(influenza vaccine),9
529,"Danabal, Kenneth Grace Mascarenhas; Magesh, Shiva Shankar; Saravanan, Siddharth; Gopichandran, Vijayaprasad","Attitude towards COVID 19 vaccines and vaccine hesitancy in urban and rural communities in Tamil Nadu, India - a community based survey",BMC HEALTH SERVICES RESEARCH,"Background Effective and safe COVID 19 vaccines have been approved for emergency use since the end of 2020 and countries are actively vaccinating their people. Nevertheless, hesitancy towards the vaccines exist globally. Objectives We conducted this study to understand the attitudes towards COVID 19 vaccines and hesitancy to accept it among urban and rural communities in Tamil Nadu, India. Methods We conducted a community based cross sectional study in urban and rural communities among 564 persons who had not been vaccinated yet, selected through multistage random sampling. The vaccine attitude scale (VAX) was used to measure attitudes towards the vaccines and their acceptance of the vaccine was captured by responses to a direct question. Results More than 50% of the respondents had positive attitudes towards the COVID 19 vaccines. Based on their attitudes, they were segmented into four clusters, first with preference for natural immunity compared to vaccines and low concern regarding adverse effects. Second with high level of trust in vaccines and low mistrust. The third cluster members had high level of concern regarding the adverse effects and low levels of mistrust in vaccines and the fourth had high trust in vaccines and low preference for natural immunity. Older individuals with higher education and occupation were more likely to belong to cluster four with high trust in the vaccines. Younger individuals, women, rural residents, belonging to low income labourer class were highly mistrusting of the vaccines. The prevalence of vaccine hesitancy was 40.7% (95% CI - 36.67 - 44.73%), while 19.5% (95% CI = 16.23 - 22.77%) of the respondents were vaccine deniers. While vaccine acceptance was greatest in cluster 1, it was least in cluster 3. Conclusions Vaccine hesitancy was high in urban and rural Tamil Nadu. The population could be effectively segmented into groups based on their attitudes and this understanding can be used to develop targeted behaviour change communication campaigns.",SEP 21,2021,21,1,,WOS:000698418200002,34548088,,,,
530,"Ullah, Irfan; Lin, Chung-Ying; Malik, Najma Iqbal; Wu, Tzu-Yi; Araban, Marzieh; Griffiths, Mark D.; Pakpour, Amir H.",Factors affecting Pakistani young adults' intentions to uptake COVID-19 vaccination: An extension of the theory of planned behavior,BRAIN AND BEHAVIOR,"Introduction Aside from personal beliefs, young adults' intention to uptake the COVID-19 vaccine can be influenced by their fear of COVID-19 and perceived infectability of COVID-19. The present study incorporated fear of COVID-19 and perceived infectability with the theory of planned behavior (TPB) to form an expanded TPB to analyze factors affecting Pakistani young adults' intentions to uptake the COVID-vaccine in Pakistan. Methods A cross-sectional study was conducted and recruited participants from Pakistani social media users. The proposed extended TPB model was examined by using structural equation modeling. Results A total of 1034 individuals replied to the survey. The three factors of the original theory of planned behavior and the fear of COVID-19 were positively related to their intention to uptake COVID-19 vaccination (r = 0.25-0.66). Moreover, the perceived infectability positively influenced the three theories of planned behavioral factors and the fear of COVID-19 (r = 0.27-0.60), also affecting the participants' intentions to uptake COVID-19 vaccination. Conclusions Perceived infectability was positively related to the participants' intentions to uptake COVID-19 vaccination, and perceived behavioral control was the strongest mediator. More evidence-based information concerning treatments and COVID-19 vaccination are needed to encourage individuals to uptake the vaccine.",,,,,SEP 2021,WOS:000697263900001,34543522,,,,
531,"Elayeh, Eman; Akour, Amal; Haddadin, Randa N.",Prevalence and predictors of self-medication drugs to prevent or treat COVID-19: Experience from a Middle Eastern country,INTERNATIONAL JOURNAL OF CLINICAL PRACTICE,"Background The lack of definitive cure for COVID-19 and the late introduction of a vaccine were responsible to push the general public to look for a remedy to treat or prevent COVID-19. The objective of this study was to evaluate patterns and factors that affect self-medication practices in Jordan during the pandemic. Methods This was a cross-sectional study using an online questionnaire that was developed, piloted and distributed to the general public via various social media platforms. The questionnaire assessed the type of drugs and treatments used to self-medicate, the reasons behind their self-medication, and the factors affecting their practices. Results A total of 1179 participants (females 46.4%) with a mean age of 32 (SD = 12.5) completed the questionnaire. The overall prevalence of the use of at least one product to treat or prevent COVID-19 was 80.4%. The most commonly used products to self-medicate were vitamin C (57.6%), followed by paracetamol (51.9%), zinc (44.8%) and vitamin D (32.5%). Female gender (odds ratio [OR]) = 1.603, working in the medical field (OR = 1.697), and history of COVID-19 infection (OR = 2.026) were variables associated with self-medication. The most common sources of participants' information about drugs to prevent or treat COVID-19 were newspapers (n = 519, 44.0%), followed by pharmacists (43.4%), friends (33.8%) and internet searching such as Google (30.7%). Conclusion This study identified the main drugs and supplements used during COVID-19 and the motives behind their use. It also identified the most influential source of information on the public during the pandemic. Self-medication can lead to worsening of the patient's health and delay seeking medical advice from healthcare professionals. Efforts should be done to help mitigate risks of self-medications by active involvement of pharmacists and other members of healthcare team to refute false claims about drug, especially in the media.",NOV,2021,75,11,SEP 2021,WOS:000697924800001,34516713,,,,
532,"Du, Min; Tao, Liyuan; Liu, Jue",The Association Between Risk Perception and COVID-19 Vaccine Hesitancy for Children Among Reproductive Women in China: An Online Survey,FRONTIERS IN MEDICINE,"Background: This study aimed to explore the association between risk perception and coronavirus disease 2019 (COVID-19) vaccine hesitancy among reproductive women in China to supplement limited studies in this area.</p> Methods: From December 14, 2020, to January 31, 2021, an anonymous cross-sectional online survey was conducted on COVID-19 vaccine hesitancy for children among reproductive women in China. We assessed risk perception, including perceived susceptibility, severity, barriers, and benefits using the health belief model, and then classified each variable into three groups (low, moderate, and high) based on tertiles. Information on sociodemographic characteristics, health status, and knowledge of COVID-19 was also collected. The Pearson chi(2)-test was used to compare vaccine hesitancy among the above mentioned factors. Logistic regression models were used to calculate the adjusted odds ratio (aOR) of risk perception related to vaccine hesitancy after controlling for the above covariates.</p> Results: Among 3,011 reproductive women, 8.44% (95%CI: 7.44. 9.43) had COVID-19 vaccine hesitancy. Vaccine hesitancy was observed more in women who lived in eastern China (11.63%), aged >45 years (12.00%), had a lower than high school education level (12.77%), and a low score on knowledge of COVID-19 (12.22%). Vaccine hesitancy was associated with lower perceived susceptibility (moderate: aOR = 1.72, 95%CI: 1.17-2.54, P = 0.0061; low: aOR = 2.44, 95%CI: 1.60-3.70, P < 0.0001), high perceived barriers (aOR = 2.86, 95%CI: 1.57-5.22, P < 0.0001), and lower perceived benefit (moderate: aOR = 3.29, 95%CI: 2.30-4.70, P < 0.0001; low: aOR = 4.59, 95%CI: 2.98-7.07, P < 0.0001), but not with perceived severity.</p> Conclusions: Although the proportion of COVID-19 vaccine hesitancy for children among Chinese reproductive women was <1 out of 10, to improve COVID-19 vaccine hesitancy, our findings suggest that tailored public health measures are needed to increase perceived susceptibility and benefit, and decrease perceived barriers among reproductive women.</p>",SEP 8,2021,8,,,WOS:000698498700001,34568394,,,,
533,"Hasseli, Rebecca; Pfeil, Alexander; Krause, Andreas; Schulze-Koops, Hendrik; Mueller-Ladner, Ulf; Specker, Christof","A survey to evaluate knowledge, perceptions and attitudes toward COVID-19 vaccinations among rheumatologists in Germany",RHEUMATOLOGY INTERNATIONAL,"The objective is to evaluate the attitude of rheumatologists regarding the use of COVID-19 vaccination in patients with inflammatory rheumatic diseases (IRDs). From February 2nd until March 15th, 2021, rheumatologists from Germany were asked to participate anonymously in a survey addressing their attitude with respect to COVID-19 vaccinations of IRD patients. The survey was completed by 214 participants (107 men, 103 women, 4 unspecified). More than half of the physicians (61%) were working in rheumatologic private practices and 62% had more than 20 years of experience in rheumatology. 90% reported to be at least confidential in handling issues of COVID-19 vaccination and 99% would recommend COVID-19 vaccination for IRD patients. The majority would not recommend to stop or reduce immunomodulatory drugs for vaccination except for rituximab. More than 70% would prefer vaccination with a mRNA vaccine for their IRD patients. This study shows that almost all rheumatologists in Germany support the COVID-19 vaccination for their IRD patients without reducing or terminating the actual immunomodulatory medication to potentially improve the response to the vaccine. This attitude is in accordance with the current recommendations of the German Society of Rheumatology regarding COVID-19 vaccination in IRD patients, and indicates that these have been well accepted and work in everyday clinical practice.",NOV,2021,41,11,SEP 2021,WOS:000693882900001,34498112,,,,
534,"Niznik, Joshua D.; Harrison, Jill; White, Elizabeth M.; Syme, Maggie; Hanson, Laura C.; Kelley, Casey J.; Porter, Lori; Berry, Sarah D.",Perceptions of COVID-19 vaccines among healthcare assistants: A national survey,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,"Background Limited COVID-19 vaccination acceptance among healthcare assistants (HCAs) may adversely impact older adults, who are at increased risk for severe COVID-19 infections. Our study objective was to evaluate the perceptions of COVID-19 vaccine safety and efficacy in a sample of frontline HCAs, overall and by race and ethnicity. Methods An online survey was conducted from December 2020 to January 2021 through national e-mail listserv and private Facebook page for the National Association of Health Care Assistants. Responses from 155 HCAs, including certified nursing assistants, home health aides, certified medical assistants, and certified medication technicians, were included. A 27-item survey asked questions about experiences and perceptions of COVID-19 vaccines, including how confident they were that COVID-19 vaccines are safe, effective, and adequately tested in people of color. Multivariable regression was used to identify associations with confidence in COVID-19 vaccines. Results We analyzed data from 155 completed responses. Among respondents, 23.9% were black and 8.4% Latino/a. Most respondents worked in the nursing home setting (53.5%), followed by hospitals (12.9%), assisted living (11.6%), and home care (10.3%). Respondents expressed low levels of confidence in COVID-19 vaccines, with fewer than 40% expressing at least moderate confidence in safety (38.1%), effectiveness (31.0%), or adequate testing in people of color (27.1%). Non-white respondents reported lower levels of confidence in adequate testing of vaccines compared to white respondents. In bivariate and adjusted models, respondents who gave more favorable scores of organizational leadership at their workplace expressed greater confidence in COVID-19 vaccines. Conclusion Frontline HCAs reported low confidence in COVID-19 vaccines. Stronger organizational leadership in the workplace appears to be an important factor in influencing HCA's willingness to be vaccinated. Action is needed to enhance COVID-19 vaccine uptake in this important population with employers playing an important role to build vaccine confidence and trust among employees.",,,,,SEP 2021,WOS:000693792500001,34449885,,,,
535,"Altulaihi, Bader A.; Alharbi, Khalid G.; Alaboodi, Talal A.; Alkanhal, Hamad M.; Alobaid, Meshal M.; Aldraimly, Maha A.","Factors and Determinants for Uptake of COVID-19 Vaccine in a Medical University in Riyadh, Saudi Arabia",CUREUS,"Background The coronavirus disease 2019 (COVID-19), which is also known as severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), is an infection that is caused by the novel coronavirus. COVID-19 has severely affected the public health by causing more than 2(X) million cases and four million deaths worldwide. There are, presently, no specific antiviral treatments for COVID-19. As immunization is one of the most successful and cost-effective health interventions to prevent this infectious disease, a number of vaccines, around 112, have been developed. In Saudi Arabia, many vaccination campaigns have already started. There are currently four approved COVID-19 vaccines but only three are available for use in Saudi Arabia. Methods This was a cross-sectional study in which a web-based survey was distributed to medical students in their clinical years at the College of Medicine in King Saud bin Abdulaziz University, Riyadh, Saudi Arabia. A total of 209 questionnaires were distributed. The survey assessed the demographic data, perception towards COVID-19 vaccine, barriers and predictors for accepting COVID-19 vaccine. Results Two-hundred and four respondents completed the survey with a response rate of 96.7%. Overall, 118 of the participants were males and 86 were females. Sixty-six percent of our participants had taken the vaccine. Of those, males and females were distributed equally in half. Fifty-three percent of the participants who had taken the vaccine aged 21-23. This age group had a significant effect on acceptance of the vaccine. Most common deterrent to taking COVID-19 vaccine was safety issues despite not having a statistical significance. In terms of motivators, the majority thought that fear of getting COVID-19 infection was the most important motivator to taking COVID-19 vaccine, which was statistically significant as well. Conclusion In the selling of spreading COVID-19 infection, the vaccine is still the solution to halting infection spread. Based on our findings, we see that there was a high acceptance rate (66.2%) of COVID-19 vaccine.",SEP 6,2021,13,9,,WOS:000694741500001,34659979,,,,
536,"Chen, Hao; Li, Xiaomei; Gao, Junling; Liu, Xiaoxi; Mao, Yimeng; Wang, Ruru; Zheng, Pinpin; Xiao, Qianyi; Jia, Yingnan; Fu, Hua; Dai, Junming",Health Belief Model Perspective on the Control of COVID-19 Vaccine Hesitancy and the Promotion of Vaccination in China: Web-Based Cross-sectional Study,JOURNAL OF MEDICAL INTERNET RESEARCH,"Background: The control of vaccine hesitancy and the promotion of vaccination are key protective measures against COVID-19. Objective: This study assesses the prevalence of vaccine hesitancy and the vaccination rate and examines the association between factors of the health belief model (HBM) and vaccination. Methods: A convenience sample of 2531 valid participants from 31 provinces and autonomous regions of mainland China were enrolled in this online survey study from January 1 to 24, 2021. Multivariable logistic regression was used to identify the associations of the vaccination rate and HBM factors with the prevalence of vaccine hesitancy after other covariates were controlled. Results: The prevalence of vaccine hesitancy was 44.3% (95% CI 42.3%-46.2%), and the vaccination rate was 10.4% (9.2%-11.6%). The factors that directly promoted vaccination behavior were a lack of vaccine hesitancy (odds ratio [OR] 7.75, 95% CI 5.03-11.93), agreement with recommendations from friends or family for vaccination (OR 3.11, 95% CI 1.75-5.52), and absence of perceived barriers to COVID-19 vaccination (OR 0.51, 95% CI 0.35-0.75). The factors that were directly associated with a higher vaccine hesitancy rate were a high level of perceived barriers (OR 1.63, 95% CI 1.36-1.95) and perceived benefits (OR 0.51, 95% CI 0.32-0.79). A mediating effect of self-efficacy, influenced by perceived barriers (standardized structure coefficient [SSC]=-0.71, P<.001), perceived benefits (SSC=0.58, P<.001), agreement with recommendations from authorities (SSC=0.27, P<.001), and agreement with recommendations from friends or family (SSC=0.31, P<.001), was negatively associated with vaccination (SSC=-0.45, P<.001) via vaccine hesitancy (SSC=-0.32, P<.001). Conclusions: It may be possible to increase the vaccination rate by reducing vaccine hesitancy and perceived barriers to vaccination and by encouraging volunteers to advocate for vaccination to their friends and family members. It is also important to reduce vaccine hesitancy by enhancing self-efficacy for vaccination, due to its crucial mediating function.",SEP 6,2021,23,9,,WOS:000693411800002,34280115,,,,
537,"Haddaden, Metri; Aldabain, Louay; Patel, Navangi; Maharaj, Anil; Saif, Aneeqa; Imam, Zaid; Haas, Christopher J.",Health care workers attitudes toward COVID-19 vaccination and the effect on personal and professional life,JOURNAL OF COMMUNITY HOSPITAL INTERNAL MEDICINE PERSPECTIVES,"Introduction While the discovery of the Coronavirus disease 2019 (COVID-19) vaccine renewed the hope to restore normal life, the attitude of Health Care Workers (HCWs) towards vaccination and its impact on their life are yet to be evaluated. Methods We conducted a cross-sectional study from late January to mid-February at the MedStar Health Hospitals in Baltimore, Maryland. Eligible HCWs completed the questionnaires anonymously. The primary outcomes were attitudes of HCWs towards vaccination and the impact on HCWs' comfort and anxiety in caring for patients, sleep, mood, attendance of social gatherings, and utilization of health clubs, before and after vaccination. Result A total of 300 respondents completed the questionnaires. The mean age was 37.2 years with 37.7% physicians and 45.7% registered nurses. Of the respondents only, 15.7% refused vaccination. The most common reason for refusal was concerns for long-term adverse effects, cited by 59.5%. Following vaccination, comfort level in caring for patients with COVID-19 and other illnesses improved (6.3 (2.8) to 8.2 (2.0), p < 0.005, and 8.4 (2.4) to 9.1 (1.0), p < 0.005, respectively). Additionally, a significant decrease in anxiety was noted in HCWs caring for patients with COVID-19 and other illnesses (5.0 (3.3) vs. 3.5 (3.2), p < 0.005 and 2.7 (3.3) vs. 2.3 (3.4), p = 0.001, respectively). Significant improvement in mood scores (6.9 (2.4) vs. 7.7 (2.1), p < 0.005) and comfort level at social gatherings (4.3 (3.2) vs. 6.3 (3.0), p < 0.005) were also noted. Conclusion Vaccination against COVID-19 resulted in overall improvement in HCWs physical and mental wellbeing.",SEP 3,2021,11,5,,WOS:000698305500003,34567445,,,,
538,"Khan, Samea; Gilani, Usman Shah; Raza, Syed Muhammad Muslim; Hussain, Tanveer","Knowledge, awareness and practices of Pakistani professionals amid-COVID-19 outbreak",SCIENTIFIC REPORTS,"End of the year 2019 marks an unprecedented outbreak of a pandemic named COVID-19 caused by the SARS-CoV-2. It was first discovered in China and later spread to the whole world, currently inflicting almost 200 countries. After China, few other countries have emerged as potential epicenters of this disease including the US, Italy, Spain and Pakistan, as indicated by the World Health Organization (WHO). Since proper preventive and curative measures in the form of a vaccine or medication are currently unavailable throughout the world, the only remedy devised to stop the spread of this virus is self-isolation. Such a measure necessitates ample awareness and understanding among people to avoid actions that lead to the spread of this virus. Pakistan is the fifth-most populous country in the world (212.2 million) and has a record of contagious outbreaks in the past. Therefore, it is key to evaluate the general understanding regarding the cause, spread and control of this disease in Pakistani population and acquire data to anticipate the possible spread and persistence of this disease to design relevant preventive measures. We have attempted to collect such data from professionals who are susceptible to acquiring the infection due to an unavoidable exposure. Keeping in view the current lock down, we have relied on an internet based collection of data by filling a self-designed questionnaire that is responded to by 1132. Descriptive and Frequency Analysis were performed on the responses received using MS Excel and SPSS software. A total of 1132 individuals responded to the questionnaire among which include academic (45.8%), non-academic (20.8%), healthcare (7.8%), security (5.9%) and other (19.7%) professionals. The questionnaire addressed the level of basic information regarding the cause, spread, cure and prevention of this disease among professionals, in an attempt to provide directions for awareness campaigns at different levels in Pakistan and provide a model for similar outbreaks in the future.To our expectations, almost after a month of the coronavirus outbreak in Pakistan, above 50% to up to 90% of the recorded responses against every question showed ample understanding regarding the cause, spread and control of the disease which is an indicator of effective public awareness campaigns throughout the country largely based on media drive.",SEP 2,2021,11,1,,WOS:000702017500023,34475443,,,,
539,"Aldossari, Khaled K.; Alharbi, Mashael B.; Alkahtani, Sultan M.; Alrowaily, Talal Z.; Alshaikhi, Abdulmajeed M.; Twair, Abdullah A.",COVID-19 vaccine hesitancy among patients with diabetes in Saudi Arabia,DIABETES & METABOLIC SYNDROME-CLINICAL RESEARCH & REVIEWS,"Background and aims: The survey aimed to assess COVID-19 vaccine acceptance and hesitancy rate among patients with diabetes and address barriers and beliefs that affect acceptance to take COVID-19 vaccine. Methods: A quantitative research approach with cross-sectional design was used to collect data from March-May'2021. Saudi residents with diabetes, aged >= 18 years were included. Results: Of the total 709 participants, 42.2% had family member with COVID-19, 14.7% had COVID-19, 34.0% had been with someone who had COVID-19. 34.7% of participants taken COVID-19 vaccination, 36.2% were willing to take, while 79.0% supported COVID-19 vaccine. Main reasons behind uncertainties towards vaccinations were relatively fast production, not many trials done and about genetic component. 44.6% got information about COVID-19 and vaccination through television, social media, and ministry website. On adjusting models, female gender, longer duration of diabetes and no history of influenza vaccine significantly associated with COVID vaccine uptake. Conclusion: Participants are willing to vaccinate but show some fear and misinformation. It is imperative that due efforts are made for increasing vaccine willingness, and availability of precise information holds key to success. Otherwise, state will have to continue to funnel in resources towards post-on-set disease management, consuming a lot more resources than preventive measures like vaccination. (C) 2021 Diabetes India. Published by Elsevier Ltd. All rights reserved.",SEP-OCT,2021,15,5,,WOS:000701754500005,34500380,,,,
540,"Ali, G. G. Md Nawaz; Rahman, Md Mokhlesur; Hossain, Md Amjad; Rahman, Md Shahinoor; Paul, Kamal Chandra; Thill, Jean-Claude; Samuel, Jim",Public Perceptions of COVID-19 Vaccines: Policy Implications from US Spatiotemporal Sentiment Analytics,HEALTHCARE,"There is a compelling and pressing need to better understand the temporal dynamics of public sentiment towards COVID-19 vaccines in the US on a national and state-wise level for facilitating appropriate public policy applications. Our analysis of social media data from early February and late March 2021 shows that, despite the overall strength of positive sentiment and despite the increasing numbers of Americans being fully vaccinated, negative sentiment towards COVID-19 vaccines still persists among segments of people who are hesitant towards the vaccine. In this study, we perform sentiment analytics on vaccine tweets, monitor changes in public sentiment over time, contrast vaccination sentiment scores with actual vaccination data from the US CDC and the Household Pulse Survey (HPS), explore the influence of maturity of Twitter user-accounts and generate geographic mapping of tweet sentiments. We observe that fear sentiment remained unchanged in populous states, whereas trust sentiment declined slightly in these same states. Changes in sentiments were more notable among less populous states in the central sections of the US. Furthermore, we leverage the emotion polarity based Public Sentiment Scenarios (PSS) framework, which was developed for COVID-19 sentiment analytics, to systematically posit implications for public policy processes with the aim of improving the positioning, messaging, and administration of vaccines. These insights are expected to contribute to policies that can expedite the vaccination program and move the nation closer to the cherished herd immunity goal.",SEP,2021,9,9,,WOS:000699545400001,34574884,,,,
